Jour,date,S,I,R,D,S_abs,I_abs,R_abs,D_abs,V,V_abs,lits_par_mille
1,2020-01-05,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
2,2020-01-06,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
3,2020-01-07,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
4,2020-01-08,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
5,2020-01-09,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
6,2020-01-10,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
7,2020-01-11,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
8,2020-01-12,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
9,2020-01-13,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
10,2020-01-14,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
11,2020-01-15,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
12,2020-01-16,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
13,2020-01-17,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
14,2020-01-18,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
15,2020-01-19,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
16,2020-01-20,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
17,2020-01-21,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
18,2020-01-22,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
19,2020-01-23,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
20,2020-01-24,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
21,2020-01-25,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
22,2020-01-26,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
23,2020-01-27,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
24,2020-01-28,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
25,2020-01-29,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
26,2020-01-30,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
27,2020-01-31,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
28,2020-02-01,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
29,2020-02-02,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
30,2020-02-03,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
31,2020-02-04,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
32,2020-02-05,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
33,2020-02-06,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
34,2020-02-07,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
35,2020-02-08,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
36,2020-02-09,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
37,2020-02-10,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
38,2020-02-11,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
39,2020-02-12,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
40,2020-02-13,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
41,2020-02-14,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
42,2020-02-15,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
43,2020-02-16,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
44,2020-02-17,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
45,2020-02-18,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
46,2020-02-19,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
47,2020-02-20,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
48,2020-02-21,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
49,2020-02-22,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
50,2020-02-23,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
51,2020-02-24,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
52,2020-02-25,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
53,2020-02-26,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
54,2020-02-27,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
55,2020-02-28,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
56,2020-02-29,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
57,2020-03-01,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
58,2020-03-02,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
59,2020-03-03,1.0,0.0,0.0,0.0,37457976.0,0.0,0.0,0.0,0.0,0.0,1.1
